quadrat,cc,density,block,strip,square_original,side,square,x,y,c1.new.em,c2.new.em,c4.new.em,c5.new.em
231,bare,50000,2,23,14,east,11,1,1,20,5,0,0
231,bare,50000,2,23,24,east,21,2,1,34,30,5,0
231,bare,50000,2,23,34,east,31,3,1,34,11,8,3
231,bare,50000,2,23,44,east,41,4,1,24,4,6,2
231,bare,50000,2,23,15,east,12,1,2,15,2,0,0
231,bare,50000,2,23,25,east,22,2,2,64,29,9,14
231,bare,50000,2,23,35,east,32,3,2,13,19,1,3
231,bare,50000,2,23,45,east,42,4,2,18,23,4,14
231,bare,50000,2,23,16,east,13,1,3,37,2,6,10
231,bare,50000,2,23,26,east,23,2,3,75,0,6,10
231,bare,50000,2,23,36,east,33,3,3,28,15,5,1
231,bare,50000,2,23,46,east,43,4,3,32,16,1,2
235,bare,500,2,23,14,east,11,1,1,0,1,0,0
235,bare,500,2,23,24,east,21,2,1,0,1,0,0
235,bare,500,2,23,34,east,31,3,1,0,0,0,0
235,bare,500,2,23,44,east,41,4,1,0,0,0,0
235,bare,500,2,23,15,east,12,1,2,0,0,0,0
235,bare,500,2,23,25,east,22,2,2,1,0,0,0
235,bare,500,2,23,35,east,32,3,2,0,1,0,0
235,bare,500,2,23,45,east,42,4,2,0,0,0,0
235,bare,500,2,23,16,east,13,1,3,1,0,0,0
235,bare,500,2,23,26,east,23,2,3,0,0,0,0
235,bare,500,2,23,36,east,33,3,3,0,0,0,1
235,bare,500,2,23,46,east,43,4,3,0,0,0,0
237,bare,5000,2,23,14,east,11,1,1,0,0,0,1
237,bare,5000,2,23,24,east,21,2,1,0,5,0,0
237,bare,5000,2,23,34,east,31,3,1,2,1,1,0
237,bare,5000,2,23,44,east,41,4,1,10,0,0,0
237,bare,5000,2,23,15,east,12,1,2,0,1,0,0
237,bare,5000,2,23,25,east,22,2,2,0,2,0,0
237,bare,5000,2,23,35,east,32,3,2,5,0,0,1
237,bare,5000,2,23,45,east,42,4,2,0,0,0,1
